Title,Artist,Tags
Come Together,The Beatles,
Don't Let Me Down,The Beatles,
Something,The Beatles,
God Only Knows,The Beach Boys,
Sloop John B,The Beach Boys,
Surfin USA,The Beach Boys,
Good Vibrations,The Beach Boys,
Wouldn't It Be Nice,The Beach Boys,
Independence Day,Martina McBride,Country
If I Had a Million Dollars,Barenaked Ladies,
Bat Out Of Hell,Meatloaf,Bangers
Let's Get Married,The Proclaimers,
No Scrubs,TLC,
I Know A Place,MUNA,
Holy,Justin Bieber,
Hypotheticals,Lake Street Dive,
Best Day of My Life,American Authors,
About Damn Time,Lizzo,Pop
Bad Romance,Lady Gaga,Pop
Born This Way,Lady Gaga,Pop
All My Life,Foo Fighters,Rock
Good As Hell,Lizzo,Pop
Heroes,David Bowie,
Like a Circle,Ben Abraham,
Million Reasons,Lady Gaga,Pop
Never Tear Us Apart,INXS,
One Way Or Another,Blondie,80s
Somebody That I Used To Know,Gotye,"Aussie, Duet"
Steady Love,Ben Rector,
Space Oddity,David Bowie,
Waiting,Green Day,
"What's My Age Again?",Blink 182,"Rock, 90s"
Wherever Is Your Heart I Call Home,Brandi Carlisle,Country
Dreams,The Cranberries,Bangers
Highway to the Danger Zone,Kenny Loggins,80s
Scarborough Fair,Simon & Garfunkle,
"Sugar, Sugar",The Archies,
Time Warp,Rocky Horror Picture Show,"Showtunes, 80s, Halloween"
Monster Mash,Bobby Pickett,Halloween
Silk Chiffon,MUNA,Pop
Stay (I Missed You),Lisa Loeb,90s
Who Will Save Your Soul?,Jewel,90s
More Than Words,Extreme,"Duet, 90s"
You Were Meant For Me,Jewel,90s
I Love You Always Forever,"Donna Lewis; Betty Who",
Buddy Holly,Weezer,90s
Say It Ain't So,Weezer,"Bangers, 90s"
Undone (The Sweater Song),Weezer,90s
Hammer and Nail,Indigo Girls,90s
Closer to Fine,Indigo Girls,90s
"Perhaps, Perhaps, Perhaps",Cake,90s
Dirty Old Town,The Pogues,
Half of the Way,Ryan Lerman,2000s
Ghostbusters,Ray Parker Jr,"Halloween, 80s"
Bad Moon Rising,Creedence Clearwater Revival,70s
Back in Black,AC/DC,"Aussie, 80s"
Beds are Burning,Midnight Oil,"Aussie, 80s"
Just Give Me A Reason,P!nk,2000s
In Spite of Ourselves,John Prine,Duet
Anti-Hero,Taylor Swift,2020s
Brass in Pocket,The Pretenders,80s
Late Night Talking,Harry Styles,2020s
Angels We Have Heard on High,Christmas,
Away in a Manger,Christmas,
Canticle of the Turning,Christmas,
Deck the Halls,Christmas,
Go Tell It On the Mountain,Christmas,
"Hark! The Herald Angels Sing!",Christmas,
Have Yourself a Merry Little Christmas,Christmas,
It's the Most Wonderful Time of the Year,Christmas,
Jingle Bells,Christmas,
Let It Snow,Christmas,
"O Come, All Ye Faithful",Christmas,
O Holy Night,Christmas,
Rocking Around the Christmas Tree,Christmas,
Santa Claus is Coming To Town,Christmas,
Silent Night,Christmas,
We Wish You a Merry Christmas,Christmas,
Winter Wonderland,Christmas,
Mr Sandman,The Chordettes,50s
Material Girl,Madonna,"Pop, 80s"
Every Breath You Take,The Police,80s
Message in a Bottle,The Police,80s
Highway to Hell,AC/DC,"Rock, 80s"
Stickshifts and Safetybelts,Cake,90s
99 Red Balloons,"Nena, Goldfinger","80s, 2000s"
You Shook Me All Night Long,AC/DC,90s
Something Stupid,Frank and Nancy Sinatra,"Duet, 60s"
"New York, New York",Frank Sinatra,60s
Fly Me To The Moon,Frank Sinatra,60s
These Boots Are Made For Walkin',Nancy Sinatra,60s
Starships,Nicki Minaj,"Pop, 2010s"
Money for Nothing,Dire Straits,80's
Life is a Highway,"Rascall Flats; Tom Cochrane",90s
We Belong Together,Richie Valens,50s
We Found Love,Rihanna,"Pop, 00s"
Counting Blue Cars,Dishwalla,90s
Waterloo,ABBA,70s
Peaches,Presidents of the USA,90s
Learn to Fly,Foo Fighters,90s
This Year,Mountain Goats,2000s
Brown Eyed Girl,Van Morrison,60s
Shoop Shoop Song,Cher,60s
Rockin Robin,"Bobby Day, Michael Jackson","50s, 70s"
Party in the USA,Miley Cyrus,"Pop, 2000s"
Don't Know Why,Norah Jones,"Ballad, 2000s"
My Heart Will Go On,Celine Dion,"Ballad, 90s"
Super Trouper,ABBA,70s
SOS,ABBA,70s
Honey Honey,ABBA,70s
Angel Eyes,ABBA,70s
Take a Chance on Me,ABBA,70s
Thank You For the Music,ABBA,70s
Why Did It Have to be Me,ABBA,70s
Fernando,ABBA,70s
Lay All Your Love On Me,ABBA,70s
Gimme Gimme Gimme,ABBA,70s
Boys of Summer,"Don Henley, The Ataris","Rock, 80s, 2000s"
Fat Lip,Sum 41,"Rock, 2000s"
"When Will My Life Begin?",Disney (Tangled),2000s
I'll Make a Man Out of you,Disney (Mulan),90s
Like a Prayer,Madonna,"Pop, 80s"
Hold On,Wilson Phillips,"Pop, 90s"
Kickstart My Heart,Motley Crue,"Rock,80s"
Still Into You,Paramore,"Rock, 2000s"
No-One Knows,Queens of the Stone Age,"Rock, 2000s"
Long Way To The Top,"AC/DC","Rock, Aussie, 70s"
Ballroom Blitz,The Sweet,"Rock, 70s"
Fight For Your Right (To Party),Beastie Boys,"Rock, 80s"
Immigrant Song,Led Zeppelin,"Rock, 70s"
Fortunate Son,Creedence Clearwater Revival,"Rock, 60s"
This Kiss,Faith Hill,"Country, 90s"
How Will I Know,Whitney Houston,"Pop, 80s"
Celebrity Skin,Hole,"Rock, 90s"
