Title,Artist,Tags,Cover
Finesse,Bruno Mars,,https://i.scdn.co/image/ab67616d0000b27347e522adf030a78615cdea06
Fire,Jimihendrix,Rock,https://i.scdn.co/image/ab67616d0000b273c9adfbd773852e286faed040
Fire and Rain,James Taylor,,https://i.scdn.co/image/ab67616d0000b273b3adf9b1706b05af854bbad4
Firecracker,Bros. Landreth,,https://i.scdn.co/image/ab67616d0000b273e45fec3aef2e77b7ce0898d0
Fireflies,Owl City,,https://i.scdn.co/image/ab67616d0000b273785d4e702802da500fc78b32
Fireflies,Owl City,"Pop, 2000s",https://i.scdn.co/image/ab67616d0000b273d25c579ea362aeee960d0d6b
Firework,Katy Perry,,https://i.scdn.co/image/ab67616d0000b273d20c38f295039520d688a888
Fix You,Coldplay,,https://i.scdn.co/image/ab67616d0000b2734e0362c225863f6ae2432651
Flagpole Sitta,Harvey Danger,,https://i.scdn.co/image/ab67616d0000b273868d99be4de6929eeac899ba
Flags,Brooke Fraser,,https://i.scdn.co/image/ab67616d0000b273832fec9291df86f9b2310bea
Flood,Jars of Clay,,https://i.scdn.co/image/ab67616d0000b2732ff8961083e3e14a8b695905
Flowers,Miley Cyrus,2020s,https://i.scdn.co/image/ab67616d0000b273620579123737c59b22ac6411
Fly Me To The Moon,Frank Sinatra,60s,https://i.scdn.co/image/ab67616d0000b273cb81eb3c1238c60f2bbfd3b5
For the Ages,Paul Kelly,Aussie,https://i.scdn.co/image/ab67616d0000b273fa5c35abff3405c743befb89
For the Moments I Feel Faint,Relient K,,https://i.scdn.co/image/ab67616d0000b273102c170920f16db53016b5c2
For Those Below,Mumford & Sons,,https://i.scdn.co/image/ab67616d0000b2736e2407383e952808a0602b0d
Forever,Benharper,,https://i.scdn.co/image/ab67616d0000b273662ae319e9f61635425ea723
Fortunate Son,Creedence Clearwater Revival,"Rock, 60s",https://i.scdn.co/image/ab67616d0000b2739f39192f9f8ca1c90847b3e5
Frail,Jars of Clay,,https://i.scdn.co/image/ab67616d0000b273171efa3f1b08ef91d3ed4b9d
Free Fallin’,Tom Petty,,https://i.scdn.co/image/ab67616d0000b27336572e6726714544f5bed456
Friday I'm In Love,The Cure,,https://i.scdn.co/image/ab67616d0000b273e410fa31e3dfcc7521cde86d
From This Valley,The Civil Wars,,https://i.scdn.co/image/ab67616d0000b273f8edb9c47544ab014e59ab54
